frame,time_s,L_elbow_deg,R_elbow_deg,L_wrist_face_px,R_wrist_face_px,dL_elbow_deg_dt,dR_elbow_deg_dt,dR_wrist_face_px_dt,dL_wrist_face_px_dt,d2L_elbow_deg_dt2,d2R_elbow_deg_dt2,d2L_wrist_face_px_dt2,d2R_wrist_face_px_dt2,L_shoulder_wrist_px,R_shoulder_wrist_px,L_ratio_wf_over_sw,R_ratio_wf_over_sw
56,1.8666666666666667,49.295190165219175,49.930802969982985,190.66969299316406,267.4013671875,-125.39279444486898,-127.26715705647838,-402.9286193847656,20.525665283203125,-1393.8628100821074,169.89302877827257,1238.9007568359375,3777.2987365722656,190.45059304101562,271.606690453125,1.0011504293509932,0.9845168642252177
57,1.9,43.94009606786469,45.82329972848706,192.30783081054688,256.1674499511719,-145.58699267625173,-120.01868728229493,-257.523193359375,53.67439270019531,108.06665570046896,386.32225509808285,-645.9205627441406,5564.029312133789,174.0789347158203,255.09262184960937,1.1047162663563217,1.00421348172977
58,1.9333333333333333,39.58939065346906,41.92955715116332,194.24798583984375,250.233154296875,-118.18835073150439,-101.51234004993952,-31.993331909179688,-22.53570556640625,1440.104731277834,540.6998172264991,1634.3536376953125,9503.132629394531,158.85214333398437,239.1519785390625,1.2228225679740443,1.0463352878178365
59,1.9666666666666666,36.060872685764394,39.05581039182442,190.80545043945312,254.03456115722656,-49.5800105910628,-83.97203280052832,376.01898193359375,162.6313018798828,1792.3395337666132,954.6426475615763,6885.464859008789,13258.506774902344,141.01043801171875,226.5081339345703,1.3531299748433951,1.121525115873356
60,2.0,36.28405661406487,36.3314216311281,205.09007263183594,275.30108642578125,1.300951519603153,-37.86949687916778,851.9071197509766,436.4952850341797,931.1765560881496,1357.7220375290299,6419.023132324219,10394.906616210938,139.9650431142578,212.9273233876953,1.4652949627173304,1.2929345189039765
61,2.033333333333333,36.14760278707127,36.53117726654657,219.90513610839844,310.828369140625,12.4984264814805,6.542769701406996,1069.0127563476562,590.5661773681641,1133.9225542924971,872.7548177378372,2959.874725341797,3917.625045776367,143.9746866689453,213.7745371328125,1.5273874956508655,1.454000898841921
62,2.0666666666666664,37.11728504616357,36.76760627788857,244.46115112304688,346.568603515625,76.89578847243628,20.314157636688037,1113.0821228027344,633.8202667236328,4005.43931978486,623.4326032185706,-3771.5343475341797,-882.5935363769531,152.71440224511718,216.62143044335937,1.6007733882929378,1.5998814281961973
63,2.1,41.27398868523369,37.88545444232577,262.1598205566406,385.0338439941406,279.52771446713786,48.1049432493117,1010.1731872558594,339.13055419921875,6460.332574566118,1043.1685317964625,-7494.91081237793,-4145.079803466797,165.38418679101562,225.030030296875,1.585156511292785,1.7110331607127176
64,2.1333333333333333,55.75246601063943,39.97460249450935,267.0698547363281,413.9134826660156,507.5846267768441,89.85872642311887,836.7434692382812,134.1595458984375,6203.9794428083505,645.8518160370793,1214.6484375,-4913.2232666015625,180.79644875390625,235.83628945214843,1.4771852908452543,1.7550881742056892
65,2.1666666666666665,75.11296380368996,43.87603620386703,271.1037902832031,440.8167419433594,693.1263439876946,91.16173098511699,682.6249694824219,420.10711669921875,4115.049407506455,-571.8099756316234,15564.749908447266,-6876.136779785156,206.70488076074218,251.9356241689453,1.3115500189712583,1.7497197682839503
66,2.2,101.9608889431524,46.05205122685048,295.0769958496094,459.42181396484375,781.9212539439411,51.73806138101064,378.3343505859375,1171.8095397949219,-2355.3106988374648,-715.2054735527244,15958.026123046875,-8740.24887084961,254.93946938378906,258.2417917714844,1.1574394367527172,1.7790374315996909
67,2.2333333333333334,127.2410473999527,47.32524029593441,349.22442626953125,466.0390319824219,536.1056307318636,43.48136608160203,99.94171142578125,1483.9755249023438,-8956.200952480029,-245.4728917367275,-5075.4638671875,-5564.561462402344,334.3219919667969,259.72900490625,1.0445750942528915,1.7943280233589627
68,2.2666666666666666,137.70126432527664,48.95080896562395,394.0086975097656,466.0845947265625,184.84119044527256,35.37320193189547,7.36358642578125,833.4452819824219,-8704.510330380765,-494.0117515183813,-23163.82827758789,-300.9498596191406,384.5237131582031,262.1889963613281,1.024666838551151,1.7776664970494855
69,2.3,139.56379342963754,49.68345375806077,404.7874450683594,466.5299377441406,-44.1950579601874,10.547249313709948,79.87838745117188,-60.279693603515625,-7833.333917993851,-733.1549447501945,-27341.249084472656,-81.6009521484375,392.66803078515625,262.8328562246094,1.030864275502566,1.7750061557960533
70,2.3333333333333335,134.7549271279308,49.65395891987128,389.99005126953125,471.4098205566406,-337.3810707543175,-13.503794384784165,1.92352294921875,-989.3046569824219,-7875.22110721762,-1230.770709830324,-19011.167907714844,-11438.470458984375,380.2496653066406,263.4697580800781,1.025615764724042,1.7892369279564977
71,2.3666666666666667,117.07172204601638,48.78320079907516,338.83380126953125,466.6581726074219,-569.2097984413621,-71.50413134164499,-682.6863098144531,-1327.6908874511719,-2452.151541196072,660.9155060923961,-8.507537841796875,-26777.04620361328,331.3302317128906,260.8262033925781,1.022646800196436,1.7891537220477778
72,2.4,96.80760723184001,44.88701683042828,301.4773254394531,425.89739990234375,-500.85784016738893,30.557239354708905,-1783.212890625,-989.871826171875,4389.368939360683,6874.655419363239,11686.761474609375,-28151.607513427734,284.99493508203125,239.99545388085937,1.057833976427257,1.7746061144715326
73,2.433333333333333,83.68119936819045,50.82035008938909,272.84234619140625,347.7773132324219,-276.5852024839832,386.8062299492376,-2559.4601440429688,-548.5734558105469,7049.810328285066,11043.897272980468,12868.14193725586,-1466.897964477539,248.16488747460937,242.26431374414062,1.09943976751877,1.4355284435317837
74,2.466666666666667,78.3685937329078,70.67409882704412,264.90576171875,255.2667236328125,-30.870484948384487,766.8170575534068,-1881.006088256836,-131.99569702148438,6357.690897544855,6322.72133012818,8346.533203125,34269.01817321777,232.17079262597656,281.5986032949219,1.1409952075475271,0.906491440816801
75,2.5,81.62316703829815,101.94148725961621,264.0426330566406,222.3769073486328,147.26085735234045,808.3209852911162,-274.8589324951172,7.862091064453125,3352.06057282356,-4621.979715575529,1769.9798583984375,31356.460189819336,239.32574562890625,362.3048105703125,1.1032771771494234,0.6137840317344506
76,2.533333333333333,88.18598422306383,124.56216451311853,265.4299011230469,236.9427947998047,192.6002199065195,458.68507651503825,209.42459106445312,-13.997039794921875,-2426.3580633173056,-12494.461342276258,-6520.069885253906,-5.2425384521484375,254.62381081445312,421.3202219472656,1.0424394335864695,0.5623817288064126
77,2.5666666666666664,94.46318169873278,132.52049236061876,263.1094970703125,236.3385467529297,-14.496346868813248,-24.64310419396753,-275.20843505859375,-426.8092346191406,-7300.108425380427,-12331.74389773552,-8979.695892333984,-9310.415267944336,251.74957375390625,435.53277687890625,1.0451239028810073,0.5426423895041091
78,2.6,87.21956109847628,122.91929090018736,236.9759521484375,218.59556579589844,-294.07367511884235,-363.4311833339964,-411.26976013183594,-612.6434326171875,-2540.2407179325446,-6591.384777312275,1479.5116424560547,1784.4955444335938,230.50006203515625,424.1039743886719,1.028094960392217,0.5154291848148671
79,2.6333333333333333,74.8582700241433,108.291746805019,222.2666015625,208.92056274414062,-183.8457280643162,-464.0687560147859,-156.2420654296875,-328.1751251220703,7019.23839982523,-1890.1090407574009,6730.8013916015625,10294.845199584961,208.35882668359375,410.67108254296875,1.0667491514531615,0.5087296662098948
80,2.6666666666666665,74.96317922752186,91.98137383253497,215.0976104736328,208.17942810058594,173.87555153617294,-489.4384527178231,275.0532531738281,-163.92333984375,11536.265357088274,668.7402382912157,7726.457977294922,13206.105422973633,197.61895851953125,373.56451516015625,1.0884462304884281,0.5572783807137954
